 20:39:17 up 39 min,  1 user,  load average: 0.13, 0.14, 0.10
 20:39:27 up 39 min,  1 user,  load average: 0.11, 0.14, 0.10
 20:39:37 up 39 min,  1 user,  load average: 0.09, 0.13, 0.10
 20:39:47 up 39 min,  1 user,  load average: 0.08, 0.13, 0.10
 20:39:57 up 40 min,  1 user,  load average: 0.06, 0.12, 0.10
 20:40:07 up 40 min,  1 user,  load average: 0.05, 0.12, 0.10
 20:40:17 up 40 min,  1 user,  load average: 0.05, 0.12, 0.09
 20:40:28 up 40 min,  1 user,  load average: 0.04, 0.11, 0.09
 20:40:38 up 40 min,  1 user,  load average: 0.03, 0.11, 0.09
 20:40:48 up 40 min,  1 user,  load average: 0.03, 0.10, 0.09
 20:40:58 up 41 min,  1 user,  load average: 0.02, 0.10, 0.09
 20:41:08 up 41 min,  1 user,  load average: 0.02, 0.10, 0.09
 20:41:18 up 41 min,  1 user,  load average: 0.02, 0.09, 0.09
 20:41:28 up 41 min,  1 user,  load average: 0.09, 0.10, 0.09
 20:41:38 up 41 min,  1 user,  load average: 0.08, 0.10, 0.09
 20:41:48 up 41 min,  1 user,  load average: 0.07, 0.10, 0.09
 20:41:58 up 42 min,  1 user,  load average: 0.06, 0.09, 0.09
 20:42:08 up 42 min,  1 user,  load average: 0.05, 0.09, 0.09
 20:42:18 up 42 min,  1 user,  load average: 0.04, 0.09, 0.09
 20:42:28 up 42 min,  1 user,  load average: 0.03, 0.08, 0.08
 20:42:38 up 42 min,  1 user,  load average: 0.03, 0.08, 0.08
 20:42:48 up 42 min,  1 user,  load average: 0.02, 0.08, 0.08
 20:42:58 up 43 min,  1 user,  load average: 0.02, 0.07, 0.08
 20:43:08 up 43 min,  1 user,  load average: 0.02, 0.07, 0.08
 20:43:18 up 43 min,  1 user,  load average: 0.01, 0.07, 0.08
 20:43:28 up 43 min,  1 user,  load average: 0.01, 0.07, 0.08
 20:43:38 up 43 min,  1 user,  load average: 0.01, 0.06, 0.08
 20:43:48 up 43 min,  1 user,  load average: 0.01, 0.06, 0.08
 20:43:58 up 44 min,  1 user,  load average: 0.00, 0.06, 0.08
 20:44:08 up 44 min,  1 user,  load average: 0.00, 0.06, 0.08
 20:44:18 up 44 min,  1 user,  load average: 0.00, 0.05, 0.07
 20:44:28 up 44 min,  1 user,  load average: 0.00, 0.05, 0.07
 20:44:38 up 44 min,  1 user,  load average: 0.00, 0.05, 0.07
 20:44:48 up 44 min,  1 user,  load average: 0.00, 0.05, 0.07
 20:44:58 up 45 min,  1 user,  load average: 0.00, 0.05, 0.07
 20:45:08 up 45 min,  1 user,  load average: 0.00, 0.04, 0.07
 20:45:18 up 45 min,  1 user,  load average: 0.00, 0.04, 0.07
 20:45:28 up 45 min,  1 user,  load average: 0.00, 0.04, 0.07
 20:45:38 up 45 min,  1 user,  load average: 0.00, 0.04, 0.07
 20:45:48 up 45 min,  1 user,  load average: 0.00, 0.04, 0.07
 20:45:58 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:08 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:18 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:28 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:38 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:48 up 46 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:46:58 up 47 min,  1 user,  load average: 0.00, 0.03, 0.06
 20:47:08 up 47 min,  1 user,  load average: 0.00, 0.02, 0.06
 20:47:18 up 47 min,  1 user,  load average: 0.00, 0.02, 0.06
 20:47:28 up 47 min,  1 user,  load average: 0.00, 0.02, 0.06
 20:47:38 up 47 min,  1 user,  load average: 0.00, 0.02, 0.05
